Giocatore,Giornata,Team,Role,Score,Prob_Gol,Pred_Gol_Pesata,GolUlt3,Score_norm,GolUlt3_norm,Score_Composito,Etichetta
pol lirola,G38,Frosinone,D,6.493775590402681,0.0475,0.0736,0,0.6493775590402681,0.0,0.361018779520134,0.0
przemyslaw szyminski,G38,Frosinone,D,0.3138028563232822,0.0,0.0,0,0.0313802856323282,0.0,0.0156901428161641,0.0
riccardo marchizza,G38,Frosinone,D,0.5234387893857239,0.0,0.0,0,0.0523438789385723,0.0,0.0261719394692861,0.0
sergio kalaj,G38,Frosinone,D,0.3138028563232822,0.0,0.0,0,0.0313802856323282,0.0,0.0156901428161641,0.0
simone romagnoli,G38,Frosinone,D,6.898804254207093,0.0219,0.0611,0,0.6898804254207093,0.0,0.3698402127103546,0.0
aaron caricol,G38,Genoa,D,5.60883295609056,0.0,0.0,0,0.560883295609056,0.0,0.280441647804528,0.0
alan matturro,G38,Genoa,D,0.4192718661248834,0.0,0.0,0,0.0419271866124883,0.0,0.0209635933062441,0.0
alessandro vogliacco,G38,Genoa,D,5.9390049184846925,0.0,0.0,0,0.5939004918484693,0.0,0.2969502459242346,0.0
davide biraschi,G38,Genoa,D,0.4713553277553036,0.0146,0.0611,0,0.0471355327755303,0.0,0.0462777663877651,0.0
djed spence,G38,Genoa,D,0.4075530872580387,0.0,0.0,0,0.0407553087258038,0.0,0.0203776543629019,0.0
giorgio cittadini,G38,Genoa,D,0.3919280487689127,0.0,0.0,0,0.0391928048768912,0.0,0.0195964024384456,0.0
johan vasquez,G38,Genoa,D,7.198020340112135,0.0219,0.0611,0,0.7198020340112136,0.0,0.3848010170056067,0.0
koni de winter,G38,Genoa,D,7.265257347842184,0.0,0.0,0,0.7265257347842183,0.0,0.3632628673921091,0.0
mattia bani,G38,Genoa,D,6.548788962495147,0.0475,0.0736,0,0.6548788962495147,0.0,0.3637694481247573,0.0
radu dragusin,G38,Genoa,D,6.867182714528568,0.0475,0.0736,0,0.6867182714528568,0.0,0.3796891357264284,0.0
ridgeciano haps,G38,Genoa,D,0.4817720200813876,0.0,0.0,0,0.0481772020081387,0.0,0.0240886010040693,0.0
silvan hefti,G38,Genoa,D,0.4179697795841228,0.0,0.0,0,0.0417969779584122,0.0,0.0208984889792061,0.0
stefano sabelli,G38,Genoa,D,5.213741826917952,0.0,0.0,0,0.5213741826917951,0.0,0.2606870913458975,0.0
alessandro bastoni,G38,Inter,D,10.0,0.0219,0.0611,0,1.0,0.0,0.5249,1.0
benjamin pavard,G38,Inter,D,9.161980795419009,0.0,0.0,0,0.9161980795419008,0.0,0.4580990397709504,1.0
carlos augusto,G38,Inter,D,8.892410542266768,0.0,0.0,0,0.8892410542266769,0.0,0.4446205271133384,0.0
denzel dumfries,G38,Inter,D,7.454375645893141,0.2146,0.1273,1,0.7454375645893141,0.3333333333333333,0.5419554489613237,1.0
federico dimarco,G38,Inter,D,9.02296243447714,0.1476,0.1111,0,0.902296243447714,0.0,0.5287581217238569,1.0
francesco acerbi,G38,Inter,D,9.84008919094826,0.077,0.1175,0,0.984008919094826,0.0,0.550354459547413,1.0
matteo darmian,G38,Inter,D,7.926289056061991,0.0475,0.0736,0,0.7926289056061991,0.0,0.4326444528030996,0.0
stefan de vrij,G38,Inter,D,8.925405224846113,0.0219,0.0611,0,0.8925405224846112,0.0,0.4711702612423056,1.0
yann aurel bisseck,G38,Inter,D,1.2174509156110744,0.0475,0.0736,0,0.1217450915611074,0.0,0.0972025457805537,0.0
alex sandro,G38,Juventus,D,0.8828146746356241,0.0,0.0486,0,0.0882814674635624,0.0,0.0587207337317812,0.0
andrea cambiaso,G38,Juventus,D,8.790382683221633,0.0475,0.0736,0,0.8790382683221634,0.0,0.4758491341610816,1.0
daniele rugani,G38,Juventus,D,0.8867209342579054,0.0475,0.0736,0,0.0886720934257905,0.0,0.0806660467128952,0.0
danilo,G38,Juventus,D,9.037308864594127,0.0219,0.0611,0,0.9037308864594128,0.0,0.4767654432297063,1.0
federico gatti,G38,Juventus,D,8.095254772896249,0.092,0.0986,0,0.8095254772896249,0.0,0.4619427386448124,1.0
gleison bremer,G38,Juventus,D,9.422335055170183,0.077,0.1153,1,0.9422335055170185,0.3333333333333333,0.5954734194251758,1.0
mattia de sciglio,G38,Juventus,D,0.8346374726274851,0.0,0.0,0,0.0834637472627485,0.0,0.0417318736313742,0.0
tiago djalo,G38,Juventus,D,0.8346374726274851,0.0,0.0,0,0.0834637472627485,0.0,0.0417318736313742,0.0
adam marusic,G38,Lazio,D,8.253466333630493,0.0219,0.0611,0,0.8253466333630494,0.0,0.4375733166815246,0.0
alessio romagnoli,G38,Lazio,D,8.571252914841601,0.0,0.0,0,0.8571252914841601,0.0,0.42856264574208,0.0
dimitrije kamenovic,G38,Lazio,D,0.6783870877362242,0.0,0.0,0,0.0678387087736224,0.0,0.0339193543868112,0.0
elseid hysaj,G38,Lazio,D,7.241908296458741,0.0,0.0,0,0.7241908296458741,0.0,0.362095414822937,0.0
luca pellegrini,G38,Lazio,D,5.765148508763369,0.0219,0.0611,0,0.5765148508763369,0.0,0.3131574254381684,0.0
mario gila,G38,Lazio,D,8.083206081342139,0.0,0.0,0,0.8083206081342139,0.0,0.4041603040671069,0.0
nicolo casale,G38,Lazio,D,8.158382669627143,0.0,0.0,0,0.8158382669627142,0.0,0.4079191334813571,0.0
patric,G38,Lazio,D,8.192105518088058,0.0475,0.0878,1,0.8192105518088058,0.3333333333333333,0.5168619425710695,1.0
ahmed touba,G38,Lecce,D,0.3398445871384924,0.0,0.0,0,0.0339844587138492,0.0,0.0169922293569246,0.0
antonino gallo,G38,Lecce,D,6.977015237149951,0.0,0.0,0,0.697701523714995,0.0,0.3488507618574975,0.0
federico baschirotto,G38,Lecce,D,7.677065440708275,0.0,0.0,0,0.7677065440708275,0.0,0.3838532720354137,0.0
kastriot dermaku,G38,Lecce,D,0.3658863179537025,0.0,0.0,0,0.0365886317953702,0.0,0.0182943158976851,0.0
lorenzo venuti,G38,Lecce,D,0.3320320678939293,0.0,0.0,0,0.0332032067893929,0.0,0.0166016033946964,0.0
marin pongracic,G38,Lecce,D,8.323678824851514,0.0,0.0,0,0.8323678824851515,0.0,0.4161839412425757,0.0
mats lemmens,G38,Lecce,D,0.3658863179537025,0.0,0.0,0,0.0365886317953702,0.0,0.0182943158976851,0.0
patrick dorgu,G38,Lecce,D,6.347285600533715,0.0475,0.105,0,0.6347285600533714,0.0,0.3631142800266857,0.0
valentin gendrey,G38,Lecce,D,6.937158063555627,0.0475,0.105,0,0.6937158063555626,0.0,0.3926079031777813,0.0
zinedin smajlovic,G38,Lecce,D,0.3658863179537025,0.0,0.0,0,0.0365886317953702,0.0,0.0182943158976851,0.0
andrea carboni,G38,Monza,D,7.4922497391477085,0.0219,0.0611,0,0.7492249739147708,0.0,0.3995124869573854,0.0
armando anastasio,G38,Monza,D,0.626303626105804,0.0,0.0,0,0.0626303626105804,0.0,0.0313151813052902,0.0
armando izzo,G38,Monza,D,8.306744275643984,0.0,0.0,0,0.8306744275643985,0.0,0.4153372137821992,0.0
danilo d'ambrosio,G38,Monza,D,7.561162631244754,0.0,0.0,0,0.7561162631244753,0.0,0.3780581315622376,0.0
davide bettella,G38,Monza,D,0.626303626105804,0.0,0.0,0,0.0626303626105804,0.0,0.0313151813052902,0.0
giorgos kyriakopoulos,G38,Monza,D,6.976558669261159,0.0,0.0,0,0.6976558669261159,0.0,0.3488279334630579,0.0
giulio donati,G38,Monza,D,0.6861996069807874,0.0,0.0,0,0.0686199606980787,0.0,0.0343099803490393,0.0
luca caldirola,G38,Monza,D,8.040071088899527,0.0219,0.0611,0,0.8040071088899527,0.0,0.4269035544449763,0.0
mario sampirisi,G38,Monza,D,0.626303626105804,0.0,0.0,0,0.0626303626105804,0.0,0.0313151813052902,0.0
pablo mari,G38,Monza,D,8.778438869281295,0.0,0.0,0,0.8778438869281295,0.0,0.4389219434640647,0.0
pedro pereira,G38,Monza,D,6.607693377818447,0.0,0.0,0,0.6607693377818447,0.0,0.3303846688909223,0.0
samuele birindelli,G38,Monza,D,7.428967495667219,0.0,0.0,0,0.7428967495667219,0.0,0.3714483747833609,0.0
valentin antov,G38,Monza,D,0.626303626105804,0.0,0.0,0,0.0626303626105804,0.0,0.0313151813052902,0.0
amir rrahmani,G38,Napoli,D,9.582109297425967,0.3327,0.1148,1,0.9582109297425968,0.3333333333333333,0.680022131537965,1.0
giovanni di lorenzo,G38,Napoli,D,9.479550247988536,0.0219,0.0611,0,0.9479550247988536,0.0,0.4988775123994268,1.0
juan jesus,G38,Napoli,D,7.896534639952048,0.0219,0.0611,0,0.7896534639952048,0.0,0.4197267319976023,0.0
leo stigard,G38,Napoli,D,7.53023009332436,0.0,0.0,0,0.753023009332436,0.0,0.376511504666218,0.0
mario rui,G38,Napoli,D,6.932105815486654,0.0,0.0,0,0.6932105815486654,0.0,0.3466052907743327,0.0
