Giocatore,Giornata,Team,Role,Score,Prob_Gol,Pred_Gol_Pesata
christos mandas,G7,Lazio,P,1.0786032088445463,0.0,0.0
etrit berisha,G7,Empoli,P,1.0786032088445463,0.0,0.0
boris radunovic,G7,Cagliari,P,0.5393016044222732,0.0,0.0
michele cerofolini,G7,Frosinone,P,0.5393016044222732,0.0,0.0
marco sportiello,G7,AC Milan,P,0.5393016044222732,0.0,0.0
emil audero,G7,Inter,P,0.5393016044222732,0.0,0.0
pierluigi gollini,G7,Napoli,P,0.2696508022111366,0.0,0.0
mattia perin,G7,Juventus,P,0.2696508022111366,0.0,0.0
benoit costil,G7,Salernitana,P,0.2696508022111366,0.0,0.0
lovro stubljar,G7,Empoli,P,0.0,0.0,0.0
luca gemello,G7,Torino,P,0.0,0.0,0.0
luigi sepe,G7,Salernitana,P,0.0,0.0,0.0
francesco rossi,G7,Atalanta,P,0.0,0.0,0.0
samuele perisan,G7,Empoli,P,0.0,0.0,0.0
pietro boer,G7,Roma,P,0.0,0.0,0.0
nicola bagnolini,G7,Bologna,P,0.0,0.0,0.0
michele avella,G7,Frosinone,P,0.0,0.0,0.0
nicola leali,G7,Genoa,P,0.0,0.0,0.0
federico brancolini,G7,Lecce,P,0.0,0.0,0.0
eugenio lamanna,G7,Monza,P,0.0,0.0,0.0
vincenzo fiorillo,G7,Salernitana,P,0.0,0.0,0.0
alessandro sorentino,G7,Monza,P,0.0,0.0,0.0
alessio cragno,G7,Sassuolo,P,0.0,0.0,0.0
alessio furlanetto,G7,Lazio,P,0.0,0.0,0.0
raffaele di gennaro,G7,Inter,P,0.0,0.0,0.0
daniel theiner,G7,Sassuolo,P,0.0,0.0,0.0
pierluigi frattali,G7,Frosinone,P,0.0,0.0,0.0
daniele sommariva,G7,Genoa,P,0.0,0.0,0.0
oliver christensen,G7,Fiorentina,P,0.0,0.0,0.0
noah raveyre,G7,AC Milan,P,0.0,0.0,0.0
daniele padelli,G7,Udinese,P,0.0,0.0,0.0
mattia chiesa,G7,Verona,P,0.0,0.0,0.0
carlo pinsoglio,G7,Juventus,P,0.0,0.0,0.0
mihai popa,G7,Torino,P,0.0,0.0,0.0
nikita contini,G7,Napoli,P,0.0,0.0,0.0
simone perilli,G7,Verona,P,0.0,0.0,0.0
marius adamonis,G7,Lazio,P,0.0,0.0,0.0
franz stolz,G7,Genoa,P,0.0,0.0,0.0
gianluca pegolo,G7,Sassuolo,P,0.0,0.0,0.0
giacomo toniolo,G7,Verona,P,0.0,0.0,0.0
simone aresti,G7,Cagliari,P,0.0,0.0,0.0
antonio mirante,G7,AC Milan,P,0.0,0.0,0.0
alexandru borbei,G7,Lecce,P,0.0,0.0,0.0
alessandro berardi,G7,Verona,P,0.0,0.0,0.0
tommaso vannucchi,G7,Fiorentina,P,0.0,0.0,0.0
tommaso martinelli,G7,Fiorentina,P,0.0,0.0,0.0
andrea bartoccioni,G7,AC Milan,P,0.0,0.0,0.0
stefano gori,G7,Monza,P,0.0,0.0,0.0
jasper samooja,G7,Lecce,P,0.0,0.0,0.0
lapo nava,G7,AC Milan,P,0.0,0.0,0.0
hubert idasiak,G7,Napoli,P,0.0,0.0,0.0
lorenzo torriani,G7,AC Milan,P,0.0,0.0,0.0
vanja milinkovic-savic,G8,Torino,P,10.0,0.0,0.0
yann sommer,G8,Inter,P,9.941126241517232,0.0,0.0
wojciech szczesny,G8,Juventus,P,8.7465731877219,0.0,0.0
michele di gregorio,G8,Monza,P,8.336254550357287,0.0,0.0
lukasz skorupski,G8,Bologna,P,8.150195496831603,0.0,0.0
mike maignan,G8,AC Milan,P,7.2239449912363485,0.0,0.0
ivan provedel,G8,Lazio,P,7.020808053570625,0.0,0.0
marco carnesecchi,G8,Atalanta,P,6.906655880634578,0.0,0.0
josep martinez,G8,Genoa,P,6.847332704148128,0.0,0.0
pietro terracciano,G8,Fiorentina,P,6.720596827108893,0.0,0.0
lorenzo montipo,G8,Verona,P,6.697227090917261,0.0,0.0
wladimiro falcone,G8,Lecce,P,6.397465282459216,0.0,0.0
elia caprile,G8,Empoli,P,6.204215540874567,0.0,0.0
rui patricio,G8,Roma,P,5.942654262729764,0.0,0.0
maduka okoye,G8,Udinese,P,5.898611298368613,0.0,0.0
alex meret,G8,Napoli,P,5.569637319671027,0.0,0.0
stefano turati,G8,Frosinone,P,5.078872859646755,0.0,0.0
andrea consigli,G8,Sassuolo,P,4.835737719653049,0.0,0.0
simone scuffet,G8,Cagliari,P,4.832591793627252,0.0,0.0
guillermo ochoa,G8,Salernitana,P,4.0919509235539975,0.0,0.0
juan musso,G8,Atalanta,P,1.6179048132668192,0.0,0.0
mile svilar,G8,Roma,P,1.3482540110556829,0.0,0.0
federico ravaglia,G8,Bologna,P,1.0786032088445463,0.0,0.0
marco silvestri,G8,Udinese,P,1.0786032088445463,0.0,0.0
christos mandas,G8,Lazio,P,1.0786032088445463,0.0,0.0
etrit berisha,G8,Empoli,P,1.0786032088445463,0.0,0.0
boris radunovic,G8,Cagliari,P,0.5393016044222732,0.0,0.0
michele cerofolini,G8,Frosinone,P,0.5393016044222732,0.0,0.0
marco sportiello,G8,AC Milan,P,0.5393016044222732,0.0,0.0
emil audero,G8,Inter,P,0.5393016044222732,0.0,0.0
pierluigi gollini,G8,Napoli,P,0.2696508022111366,0.0,0.0
mattia perin,G8,Juventus,P,0.2696508022111366,0.0,0.0
benoit costil,G8,Salernitana,P,0.2696508022111366,0.0,0.0
lovro stubljar,G8,Empoli,P,0.0,0.0,0.0
luca gemello,G8,Torino,P,0.0,0.0,0.0
luigi sepe,G8,Salernitana,P,0.0,0.0,0.0
francesco rossi,G8,Atalanta,P,0.0,0.0,0.0
samuele perisan,G8,Empoli,P,0.0,0.0,0.0
pietro boer,G8,Roma,P,0.0,0.0,0.0
nicola bagnolini,G8,Bologna,P,0.0,0.0,0.0
michele avella,G8,Frosinone,P,0.0,0.0,0.0
nicola leali,G8,Genoa,P,0.0,0.0,0.0
federico brancolini,G8,Lecce,P,0.0,0.0,0.0
eugenio lamanna,G8,Monza,P,0.0,0.0,0.0
