Giocatore,Team,Role,Score_norm,Prob_Gol,Pred_Gol_Pesata,Etichetta_Predetta
adam obert,Cagliari,D,0.0253906875448298,0.0,0.0,non consigliato
pantelis hatzidiakos,Cagliari,D,0.023177140425537,0.0,0.0,non consigliato
alessandro di pardo,Cagliari,D,0.0230469317714609,0.0,0.0,non consigliato
yerry mina,Cagliari,D,0.0229167231173849,0.0463,0.0963,non consigliato
matias vina,Sassuolo,D,0.0201823413817878,0.0,0.0,non consigliato
gerardo fusco,Salernitana,D,0.0188802548410273,0.0,0.0,non consigliato
edoardo goldaniga,Cagliari,D,0.0174479596461907,0.0,0.0,non consigliato
filippo missori,Sassuolo,D,0.0171875423380386,0.0,0.0,non consigliato
kevin miranda,Sassuolo,D,0.0157552471432021,0.0,0.0,non consigliato
mattia viti,Sassuolo,D,0.0134114913698332,0.1109,0.0898,non consigliato
jerome boateng,Salernitana,D,0.0111979442505403,0.0,0.0,non consigliato
konstantinos manolas,Salernitana,D,0.0109375269423882,0.0,0.0,non consigliato
dylan bronn,Salernitana,D,0.0105469009801601,0.0,0.0,non consigliato
emanuele elia,Salernitana,D,0.0105469009801601,0.0,0.0,non consigliato
marash kumbulla,Sassuolo,D,0.0105469009801601,0.0,0.0,non consigliato
flavius daniliuc,Salernitana,D,0.0066406413578785,0.0,0.0,non consigliato
marco pellegrino,Salernitana,D,0.0055989721252701,0.0,0.0,non consigliato
triantafyllos pasalidis,Salernitana,D,0.0035156336600533,0.0,0.0,non consigliato
niccolo pierozzi,Salernitana,D,0.0006510432703802,0.0213,0.0903,non consigliato
federico fazio,Salernitana,D,0.0,0.0213,0.0611,non consigliato
hakan calhanoglu,Inter,C,1.0,0.3184,0.2278,consigliato
teun koopmeiners,Atalanta,C,0.8678701709568648,0.3538,0.2213,consigliato
luis alberto,Lazio,C,0.8240300382518294,0.1229,0.1111,consigliato
antonio candreva,Salernitana,C,0.7790139201923737,0.1334,0.1236,consigliato
matteo pessina,Monza,C,0.7662182403895132,0.1603,0.155,consigliato
andrea colpani,Monza,C,0.761769439252209,0.2303,0.1611,consigliato
arthur,Fiorentina,C,0.7412418368645464,0.1758,0.264,consigliato
